login;fio;fname;lname;initials;samaccname;cellphone;workphone;vntel;fax;email;department;jobtitle;addr;kab;company;ou;passwd
PavlovaJAV;Павлова Ясмина Всеволодовна;Ясмина;Павлова;В.;PavlovaJAV;+7(495)073-27-23;+7(495)12300010;100;;PavlovaJAV@altuninvv.local;Руководство;Директор;Ленина 1;101;Altunin Soft;OU=ruk,OU=Company,DC=altuninvv,DC=local;&Lc7I48!wmHo5x=h
KalininaVL;Калинина Виктория Леоновна;Виктория;Калинина;Л.;KalininaVL;+7(495)600-07-08;+7(495)12300011;101;;KalininaVL@altuninvv.local;Руководство;Заместитель директора;Ленина 1;102;Altunin Soft;OU=ruk,OU=Company,DC=altuninvv,DC=local;Xz@GI+~%r-7+nLXB
SmirnovAV;Смирнов Арсений Владимирович;Арсений;Смирнов;В.;SmirnovAV;+7(495)234-13-04;+7(495)12300012;102;;SmirnovAV@altuninvv.local;Руководство;Заместитель директора;Ленина 1;103;Altunin Soft;OU=ruk,OU=Company,DC=altuninvv,DC=local;BX%yDIzrlrgcgyu-
LebedevaVA;Лебедева Валерия Адамовна;Валерия;Лебедева;А.;LebedevaVA;+7(495)985-74-14;+7(495)12300013;103;+7(495)12400001;LebedevaVA@altuninvv.local;Руководство;Секретарь;Ленина 1;104;Altunin Soft;OU=ruk,OU=Company,DC=altuninvv,DC=local;EbyNC0:p~Fpc!:WF
IlinskajaEM;Ильинская Ева Матвеевна;Ева;Ильинская;М.;IlinskajaEM;+7(495)876-46-68;+7(495)12300024;104;+7(495)12400002;IlinskajaEM@altuninvv.local;Бухгалтерия;Главный бухгалтер;Ленина 1;105;Altunin Soft;OU=buh,OU=Company,DC=altuninvv,DC=local;BR$)w7TBm-l8:PG8
DruzhininPD;Дружинин Павел Демидович;Павел;Дружинин;Д.;DruzhininPD;+7(495)665-86-28;+7(495)12300025;105;;DruzhininPD@altuninvv.local;Бухгалтерия;Заместитель главного бухгалтера;Ленина 1;106;Altunin Soft;OU=buh,OU=Company,DC=altuninvv,DC=local;evBRoa)Aui4*UZ=u
BogdanovaMO;Богданова Малика Олеговна;Малика;Богданова;О.;BogdanovaMO;+7(495)872-11-71;+7(495)12300026;106;;BogdanovaMO@altuninvv.local;Бухгалтерия;Бухгалтер;Ленина 1;107;Altunin Soft;OU=buh,OU=Company,DC=altuninvv,DC=local;zu!VoWnHE=t7Bgj8
RumjancevaAK;Румянцева Анна Кирилловна;Анна;Румянцева;К.;RumjancevaAK;+7(495)410-93-60;+7(495)12300027;107;+7(495)12400003;RumjancevaAK@altuninvv.local;Бухгалтерия;Бухгалтер;Ленина 1;108;Altunin Soft;OU=buh,OU=Company,DC=altuninvv,DC=local;YrGT(@hs,1Kh!Y))
ErmakovaKD;Ермакова Кристина Данииловна;Кристина;Ермакова;Д.;ErmakovaKD;+7(495)232-72-83;+7(495)12300038;108;;ErmakovaKD@altuninvv.local;It;Системный администратор;Ленина 1;109;Altunin Soft;OU=it,OU=Company,DC=altuninvv,DC=local;OiLgEV6Z11sEjLe~
LatyshevTS;Латышев Тимофей Саввич;Тимофей;Латышев;С.;LatyshevTS;+7(495)146-87-26;+7(495)12300039;109;+7(495)12400004;LatyshevTS@altuninvv.local;It;Системный администратор;Ленина 1;110;Altunin Soft;OU=it,OU=Company,DC=altuninvv,DC=local;JsHlIXqGNF*5)m(4
